Onliner ID;Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;Описание предложения;Изготовитель;Импортер;Сервисный центр;Гарантия;Срок доставки по Минску;Срок доставки по РБ;Только для юр. лиц;Наличие на складе;В наличии на складе;Срок рассрочки по Халве;Onliner Prime;Цена по промокоду;Повышенная рассрочка Minipay;Кредит на «Родныя тавары»
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х41 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV1-50367-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х51 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV2-50377-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х51 мм с прессшайбой, цинк, острый (5 кг) STARFIX;SMV2-32802-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Саморезы, шурупы, стяжки;STARFIX;Саморез 4.2х75 мм с прессшайбой, цинк, со сверлом (5 кг) STARFIX;SMV2-50401-5;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Аксессуары для газонной техники, кусторезов и садовых ножниц;DGM;Головка триммерная DGM TH-221 леска ф 2.4 мм ручн., блистер;TH221000011B;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Аксессуары для газонной техники, кусторезов и садовых ножниц;DGM;Головка триммерная DGM TH-223 леска ф 2.4 мм полуавт., блистер;TH223000011B;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Аксессуары для газонной техники, кусторезов и садовых ножниц;DGM;Головка триммерная DGM TH-225 леска ф 2.4 мм полуавт., блистер;TH225000011B;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Опрыскиватели;MAROLEX;Опрыскиватель компрессионный 11л Profession 12 MAROLEX;S034.141;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лампочки;ЮПИТЕР;Лампа светодиодная C37 СВЕЧА 6 Вт 170-240В E27 4000К ЮПИТЕР;JP5083-10;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA TW 140 DZ в кор.;TW140DZ;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 285 Z в кор.;DTW285Z;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 180 Z в кор.;DTW180Z;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 1001 Z в кор.;DTW1001Z;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 1002 Z в кор.;DTW1002Z;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 1001 RTJ в кейсе;DTW1001RTJ;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 251 Z в кор.;DTW251Z;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 181 Z в кор.;DTW181Z;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 181 RFE в чем.;DTW181RFE;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA CXT TW 060 DZ в кор.;TW060DZ;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA LXT DTW 190 Z в кор.;DTW190Z;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA CXT TW 161 DZ в кор.;TW161DZ;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA CXT TW 161 DWAE в чем.;TW161DWAE;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA CXT TW 160 DZ в кор.;TW160DZ;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шуруповерты, гайковерты, электроотвертки;MAKITA;Аккум. ударный гайковерт MAKITA CXT TW 160 DWAE в чем.;TW160DWAE;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Шлифовальные диски, насадки, листы;GEPARD;Шлифлента 75х457мм Р240 бесконечная 3шт. GEPARD (GP5008-240);GP5008-240;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;GEPARD;Сверло по дереву спиральное 24х235мм GEPARD (GP0524-24);GP0524-24;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;GEPARD;Сверло по дереву спиральное 26х235мм GEPARD (GP0524-26);GP0524-26;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;GEPARD;Сверло по дереву спиральное 28х235мм GEPARD (GP0524-28);GP0524-28;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;GEPARD;Сверло по дереву спиральное 30х235мм GEPARD (GP0524-30);GP0524-30;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Виброплиты и вибротрамбовки;WORTEX;Вал гибкий 1.5 м в сборе с вибронаконечником 50 мм для вибратора CV 1512/CV 2012;VR155000013;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Виброплиты и вибротрамбовки;WORTEX;Вал гибкий 2 м в сборе с вибронаконечником 50 мм для вибратора CV 1512/CV 2012;VR205000013;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Виброплиты и вибротрамбовки;WORTEX;Вал гибкий 3 м в сборе с вибронаконечником 35 мм для вибратора CV 1512/CV 2012;VR305000013;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Виброплиты и вибротрамбовки;WORTEX;Вал гибкий 2 м в сборе с вибронаконечником 35 мм для вибратора CV 1512/CV 2012;VR203500013;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М8х100 мм полусф. головка, цинк, DIN 7985 (20 шт в карт. уп.) STARFIX;SMC2-56262-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М6х30 мм полусф. головка, цинк, DIN 7985 (250 шт в карт. уп.) STARFIX;SMC2-54192-250;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М5х20 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC3-53182-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М4х10 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC1-52172-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М3х12 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC1-51174-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М3х16 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC1-51178-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М3х30 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC2-51192-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М4х12 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC1-52174-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М4х16 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC2-52178-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М4х20 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC3-52182-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М4х30 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC3-52192-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М4х40 мм полусф. головка, цинк, DIN 7985 (500 шт в карт. уп.) STARFIX;SMC3-52202-500;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Винт М4х8 мм полусф. головка, цинк, DIN 7985 (1000 шт в карт. уп.) STARFIX;SMC1-52170-1000;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
